"","citekey","paradigm","notes_ca ","notes_te ","emotions ","emotion_locus ","stimulus_type ","stimulus_duration ","stimulus_duration_unit ","stimulus_n ","feature_n ","participant_n ","participant_expertise ","participant_origin","participant_sampling","participant_task","feature_categories","feature_source","feature_reduction_method","model_category","model_detail","model_measure","model_complexity_parameters","model_rate_emotion_names","model_rate_emotion_values","model_validation"
"8","nag2022on"," classification  "," include, classification  "," include, basic emotion classification  "," happy, sad, calm, angry  ","    ","    "," 30  "," seconds  "," 1600 ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    "," convolutional neural network, Multifractal Detrended Fluctuation Analysis, ResNet50, MobileNet v.20, SqueezeNet v1.0, ODE-Net ","    ","    ","    ","    ","   }  DISCUSS = T} "
"9","nguyen2017an"," classification  "," include, classification  "," include  "," 288 emotion labels "," perceived  "," AMG  "," 30  "," s  "," 300  "," 397  "," not specified "," experts "," not specified  "," not specified  "," annotate  "," Harmony, Rhythm, Dynamic, Timbre, Melody  "," Sound Description Toolbox, MIR Toolbox, Marsyas, PsySound  "," WEKA  "," classification  "," RandomForest  "," Classification accuracy  "," Feature reduction: Attribute Evaluator = “CfsSubsetEval”,  Search Method=”BestFirst”  "," valence, arousal  ","AROUSAL = rbind(   level_1 = c('level_1' = 44,'level_2' = 0,'level_3' = 4,'level_4' = 1,'level_5' = 0,'level_6' = 1, 'recall' = 88),   level_2 = c(0,47,1,0,2,0,94),   level_3 = c(15,0,24,8,0,3,48),   level_4 = c(6,0,16,15,0,13,30),   level_5 = c(0,3,0,0,47,0,94),   level_6 = c(0,0,4,13,0,33,66) )  ","  10-fold cross-validation} }"
"9.1","nguyen2017an"," classification  "," include, classification  "," include  "," 288 emotion labels "," perceived  "," AMG  "," 30  "," s  "," 300  "," 397  "," not specified "," experts "," not specified  "," not specified  "," annotate  "," Harmony, Rhythm, Dynamic, Timbre, Melody  "," Sound Description Toolbox, MIR Toolbox, Marsyas, PsySound  "," WEKA  "," classification  "," RandomForest  "," Classification accuracy  "," Feature reduction: Attribute Evaluator = “CfsSubsetEval”,  Search Method=”BestFirst”  "," valence, arousal  ","VALENCE = rbind(   level_1 = c('level_1' = 20,'level_2' = 0,'level_3' = 11,'level_4' = 6,'level_5' = 9,'level_6' = 4, 'recall' = 40),   level_2 = c(1,36,0,2,7,4,72),   level_3 = c(12,0,23,11,3,1,46),   level_4 = c(4,0,11,31,4,0,62),   level_5 = c(9,0,4,5,29,3,58),   level_6 = c(8,3,2,1,3,33,66) )   ","  10-fold cross-validation} }"
"10","panda2020no"," classification  "," include, quadrant classification  "," include, classification  ","    ","    "," AllMusic  "," 30  "," s  "," 900  ","    "," not specified  "," experts  "," not specified  "," not specified  "," c(experts = 'annotate', subjects = 'rate') ","   ","   ","    ","    ","    ","    ","    ","    ","    ","  10-fold cross validation * 20  DISCUSS = T} }"
"11","sorussa2020em"," classification  "," include, classification  "," include, classification  "," valence, arousal  "," perceived  "," DEAM  "," not specified  "," not specified  "," 1802 "," 122  "," not specified  "," not specified  "," MTurk  "," crowdsourced  "," rate  "," dynamics, rhythm, timbre, pitch, tonality "," MIR Toolbox  "," none  "," classification  "," Levenberg-Marquardt neural network, Rprop neural network "," classification accuracy  ","  rbind(multiclass_lm = c(       architecture = '122-10-2', min_gradient = 1.0e-07, max_failing = 10),       lvl_1_cascaded_lm = c('122-10-2', 1.0e-07, 10),       lvl_2_cascaded_lm = c('122-10-2', 1.0e-07, 10),       lvl_3_cascaded_lm = c('122-10-2', 1.0e-21, 10),       multiclass_rprop = c('122-10-8', 1.0e-50, 300),       lvl_1_cascaded_rprop = c('122-10-2', 1.0e-50, 300),       lvl_2_cascaded_rprop = c('122-10-2', 1.0e-100, 300),       lvl_3_cascaded_rprop = c('122-10-2', 1.0e-100, 300) )   "," valence, arousal  ","    ","  validation set % train, test and validation sets. They report 7/3 ratioo (training set/test set)   DISCUSS = T} }"
"12","yang2021an"," classification  "," include, classification  "," include, classification  "," happy, sad, nervous, calm  "," perceived  "," MediaEval  "," 45  ","  s  "," 744  ","  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," timbre, dynamic,   ","  not specified  ","  back-propogation  "," regression  "," back-propogation neural network, artificial bee colony algorithm, SVM, KNN, GMM, BP  "," MAE, RMSE, R2  "," not specified  "," happy, sad, nervous, calm   ","  rbind(     SVM = c(MAE_valence = 1.1253, RMSE_valence = 0.1392, R2_valence = 0.4374,             MAE_arousal = 1.3091, RMSE_arousal = 0.1405, R2_arousal = 0.5663),     KNN = c(1.0974,0.2988,0.4403,             1.1686,0.3265,0.5881),     GMM = c(1.2342,0.3072,0.4236,             1.4105,0.3136,0.5712),     BP = c(1.1066,0.1190,0.4576,            1.1987,0.1284,0.6284),     proposed = c(0.8872,0.1066,0.4606,                  0.9156,0.1322,0.6687) )  ","  80/20 train-test split   DISCUSS = T} }"
"13","yeh2014po"," classification  "," include, classification  "," include, or unclear, report classification broadly/vaguely  "," happy, angry, depressed, relaxed  "," perceived  "," chorus of popular music, chorus of MIREX 2009 collection  ","   ","    "," 350  "," 3 ","    ","    ","    ","    ","    ","    ","    ","    "," classification  "," Adaboost  "," precision, recall  ","    ","    ","    ","   } }"
"14","zhang2017fe"," classification  "," include, classification  "," include  "," arousal  "," perceived  "," Chinese popular songs  "," 30  "," s  "," 171  "," 8  ","    ","    ","    ","    ","    "," dynamic  ","    "," Relief-F, CFS, Pearson correlation filter, Spearman correlation filter, information gain, gain-ratio   ","    ","    ","    ","    ","    ","    ","      DISCUSS = T} "
"15","bai2016di"," regression  "," include  "," include  "," valence, arousal  "," not specified  "," MediaEval  "," 45  "," s  "," 744 "," 548 "," 'not specified'  "," 'not specified' "," 'not specified'  "," 'not specified'  "," 'rate'  "," rhythm, dynamic, timbre, harmony, pitch  "," Daubechies, MIRToolbox, Sound Description toolbox  "," pca, reliefF  "," regression  "," SVR, MARS, RFR, RNN  "," R2  "," 549  "," valence, arousal  ","   ","  none} }"
"16","battcock2021in"," regression  "," include  "," include, commonality analysis  "," valence, arousal  "," perceived  "," prelude  "," 8  "," measure  "," 336 "," 3  "," 180  "," nonmusicians  "," canada  "," convenience  "," rate  "," melody, harmony, rhythm  "," manual  "," none  "," regression  "," commonality analysis, multiple regression  "," R2  "," 4  "," valence, arousal  "," c('valence'  = 0.808, 'arousal' = 0.788)  ","  NA} }"
"17","beveridge2018po",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"18","cao2023th"," regression  "," include, single-modality reported  "," include, some quality issues  "," valence, arousal  "," not specified  "," million songs dataset "," not specified  "," not specified  "," 1000 "," not specified "," not specified "," not specified "," online  "," convenience  "," not specified  "," not specified "," million song dataset  ","  "," regression  "," RNN, LTSM network, STS "," R2   "," 1 pre-training layer; 256 hidden units; 1*128 fusion features; 0.001 learning rate; Batch size: 128;  Regularization intensity and discard rate: 0.2 "," valence, arousal  "," c('valence' = 0.456, 'arousal' = 0.439) ","  cross-validation} }"
"19","chen2017co"," regression  "," include  "," include  "," valence, arousal, 38 mood tags "," not specified  "," AMG1608 "," 30  "," seconds  "," 1838  "," 72  "," 665  "," not specified  "," 22 from campus, 643 from mechanical turk  "," convenience, online  "," annotation  "," Timbre = 67, Temporal? = 4 "," Yaafe, MIRToolbox  "," not specified  "," regression  "," acoustic emotion gaussians, GMM, emotion GMM, MAP linear regression   "," R2, E  "," frame size = 50ms, frame overlap = 25ms, segment = 16 frames, segment overlap = 12 frames; component tying methods = c(single group tying,  quadrant-wise tying, hierarchical-tying, random tying)  "," valence, arousal  ","valence084r2arousal006euclidsd009r2valencesd009r2arousalsd009mfccc03014061015001001tonalc029013065015003002spectralc032006056016002002temporalc036008030017001002allc029015067015001002MODELRATEPERFORMANCESD = rbind(   baseline = c('euclid' = 0.45, 'r2_valence' = -0.84, 'r2_arousal' =  -0.06,   'euclid.sd' = 0.09, 'r2_valence.sd' = 0.09, 'r2_arousal.sd' = 0.09),   mfcc = c(0.3,0.14, 0.61, 0.15,0.01,0.01),   tonal = c(0.29,0.13, 0.65, 0.15,0.03,0.02),   spectral = c(0.32,0.06, 0.56, 0.16,0.02,0.02),   temporal = c(0.36,0.08, 0.30, 0.17,0.01,0.02),   all = c(0.29,0.15, 0.67, 0.15,0.01,0.02) ) #MODEL_RATE_PERFORMANCE_SD =  #rbind( #  baseline = c('euclid' = 0.09, 'valence' = 0.09, 'arousal' =  0.08), #  mfcc = c(0.15,0.01,0.01), #  tonal = c(0.15,0.03,0.02), #  spectral = c(0.16,0.02,0.02), #  temporal = c(0.17,0.01,0.02), #  all = c(0.15,0.01,0.02) #) # #MODEL_RATE_PERFORMANCE_PERSONALIZED_COMPONENT_TYING =  #rbind( #  no_personal_annotations = c('valence' = -0.28, 'arousal' =  0.36), # 20_personal_annotations_component_tying_method = c(0.01, 0.54) #) #   ","  three-fold cross-validation}   }"
"20","chin2018pr"," regression  "," include  "," include, R2  "," valence, arousal  "," perceived  "," NTUMIR, MediaEval2013  ","  c(NTUMIR = 30)  "," seconds  "," c(NTUMIR = 60, MediaEval2013 = 744)   "," c(NTUMIR = '?', MediaEval = 6669)   "," c(NTUMIR = 99, MediaEval2013 = ?)  "," no limitation  "," c(NTUMIR = 'Taiwan', MediaEval2013 = 'United States')  "," c(NTUMIR = 'specified on web', MediaEval2013 = 'MTurk')  "," rate  "," rbind( NTUMIR = c('Harmony' = 10, 'Timbre' = 90, 'Temporal?' = 6, 'rhythm' = 61, lyrics = '?'), MediaEval2013 = c('harmonic', 'pitch' 'timbre', 'dynamic', 'other') )   "," c(NTUMIR = 'MIRToolbox',  				MediaEval2013 = 'openSMILE')  "," kernel principal component analysis  "," regression  "," support vector regression, kNN, kernal principle component analysis  "," R2, JS  ","_NTUMIR   Rbind( emotion_space_mapping = c(‘kpca dimensionality = 15’, ‘k=8’) Simple_svr = c(’15 principal components’), Ensemble_svr = c(‘5 models per grid cell’, ‘5*8*8 models’) )  "," valence, arousal","_NTUMIR   rbind( proposed_knn_kpca_features = c('R2' = 0.622, 'JS' = 0.069, 'R2.sd' = 0.288, 'JS.sd' = 0.066), simple_svr_kpca_features = c(0.584, 0.085, 0.265, 0.059), ensemble_svr = c(0.531, 0.102, 0.244, 0.073) ","  c(NTUMIR = 'LOO', MediaEval2013 = 'five-fold cross-validation') DISCUSS = T} }"
"21","coutinho2017sh"," regression  "," include, can report intradomain accuracies  "," include  "," valence, arousal  "," perceived  "," c(MediaEval2014 = 'specified elsewhere', 			        MP_db = c('classical', 'contemporary western art', 'baroque', 'bossa nova', 'rock', 'pop', 'heavy metal', 'film music') )  "," variable  "," seconds  ","  c(MediaEval2014 = 1000,   MP_db1 = 6,   MP_db2 = 9,   MP_db3 = 8,   MP_db4 = 7)   "," 130  "," c(MediaEval2014 = 'specified elsewhere',   MP_db1 = 35,   MP_db2 = 39,   MP_db3 = 52,   MP_db4 = 38)   "," not specified  "," ?  "," crowd source, convenience  "," 'rate'  ","  pitch, timbre, dynamic "," 'ComParE'  ","  denoising autoencoder  "," pitch, timbre, dynamic "," denoising autoencoders, 260 inputs, 2 hidden layers, 2 output units with linear activation functions, 10 repetitions, learning rate = 5x10e^-6, first layer size = 150, second layer size = 10, gaussian noise = 0.5, performance averaged across best five trials, trained on music and speech   "," rmse, r, ccc  "," 65 low level descriptors plus first order derivatives  "," valence, arousal  "," rbind(   valence = c('rmse' = 0.265,               'r' = 0.175,               'ccc' = 0.090),   arousal = c('rmse' = 0.194,               'r' = 0.517,               'ccc' = 0.317) )   ","  'nested leave-one-out cross validation'} }"
"22","deng2015em"," regression  "," include  "," include  "," valence, arousal, resonance  "," perceived  "," Western classical  "," 30  "," seconds  "," 275  "," 201  "," 65  "," musicians, nonmusicians  "," Hong Kong  "," convenience  "," rate  "," dynamic, timbre, tonal, rhythm  "," MIRToolbox, marsyas  "," graph embedding, sequential floating forward search (feature selection)  "," regression  "," support vector regression, sparse bayesian regression, variational bayesian regression  "," R2  ","    ","  arousal, valence, resonance  "," rbind(   svr = c(r2_arousal = 0.7249, explained_variance_arousal = 0.7556,           r2_valence = 0.6119, explained_variance_valence = 0.6142,           r2_resonance = 0.5374, explained_variance_resonance = 0.5496),   sbr = c(r2_arousal = 0.7381, explained_variance_arousal = 0.7395,           r2_valence = 0.6296, explained_variance_valence = 0.6376,           r2_resonance = 0.5456, explained_variance_resonance = 0.5558),   vbr = c(r2_arousal = 0.7108, explained_variance_arousal = 0.7415),           r2_valence = 0.6328, explained_variance_valence = 0.6340,           r2_resonance = 0.5554, explained_variance_resonance = 0.563)    ","  cross-validation} }"
"23","gingras2014be"," regression  "," include  "," include, has R2  "," pleasantness, arousal  "," perceived  "," piano trio  "," 6  "," seconds  "," 84  ","  c(   pre_fitting = 21,   post_fitting_arousal_original_mlr = 5     post_fitting_arousal_normalized_mlr = 3,   post_fitting_valence_original_mlr = 3,     post_fitting_valence_normalized_mlr = 3,     post_fitting_arousal_original_mlr_common = 3,  # common predictors bw original and rms-normalized sets   post_fitting_arousal_normalized_mlr_common = 3,  # common predictors bw original and rms-normalized sets   post_fitting_valence_original_mlr_common = 3,  # common predictors bw original and rms-normalized sets   post_fitting_valence_normalized_mlr_common = 3,  # common predictors bw original and rms-normalized sets   post_fitting_arousal_original_pls = 6,   post_fitting_arousal_normalized_pls = 6,   post_fitting_valence_original_pls = 6,   post_fitting_valence_normalized_pls = 6 )   "," 60  "," nonmusicians  "," not specified "," convenience  "," rate  "," dynamics, timbre, rhythm, tonality  "," mirtoolbox, praat  "," stepwise-forward procedure based on BIC  "," regression  "," multiple linear regression, partial least squares regression  "," R2  ","    "," pleasantness, arousal  ","  rbind(   arousal_original_mlr = .848,   arousal_normalized_mlr =  .674,   pleasantness_original_mlr =  .386,   pleasantness_normalized_mlr = .289,    arousal_original_mlr = .667, # common predictors bw original and rms-normalized sets   arousal_normalized_mlr =  .674, # common predictors bw original and rms-normalized sets   pleasantness_original_mlr =  .286, # common predictors bw original and rms-normalized sets   pleasantness_normalized_mlr = .283, # common predictors bw original and rms-normalized sets   arousal_original_pls = .779,   arousal_normalized_pls = .652,   pleasantness_original_pls = .533,   pleasantness_normalized_pls = .367 )  ","  pls = '10-fold cross validation'} }"
"24","grekow2018au"," regression  "," include  "," include  "," arousal, valence  "," perceived  "," c('classical', 'jazz', 'blues', 'country', 'disco', 'hip-hop', 'metal', 'pop', 'reggae', 'rock')  "," 6  "," seconds  "," 324  "," 654  "," 5  "," music experts  "," not specified  "," convenience  "," rate  "," rhythm, timbre, harmony, dynamics, melody, high-level  "," essentia, marsyas  "," 'WrapperSubsetEval'  "," regression  "," c(model = 'SMOreg')  "," R2, MAE  "," c(attribute_selection = 'WrapperSubsetEval', search_method = 'BestFirst')   "," arousal, valence  ","TOOLBOXES = rbind(    essentia_before_attribute_selection = c(R2_arousal = .48, MAE_arousal = .18,                                              R2_valence = .27, MAE_valence = 0.17),    essentia_after_attribute_selection = c(R2_arousal = .79, MAE_arousal = .09,                                            R2_valence = .58, MAE_valence = 0.10),    marsyas_before_attribute_selection = c(R2_arousal = .63, MAE_arousal = .13,                                             R2_valence = .15, MAE_valence = 0.16),    marsyas_after_attribute_selection = c(R2_arousal = .73, MAE_arousal = .11,                                             R2_valence = .25, MAE_valence = 0.14) ) ","  10-fold cross validation} }"
"24.1","grekow2018au"," regression  "," include  "," include  "," arousal, valence  "," perceived  "," c('classical', 'jazz', 'blues', 'country', 'disco', 'hip-hop', 'metal', 'pop', 'reggae', 'rock')  "," 6  "," seconds  "," 324  "," 654  "," 5  "," music experts  "," not specified  "," convenience  "," rate  "," rhythm, timbre, harmony, dynamics, melody, high-level  "," essentia, marsyas  "," 'WrapperSubsetEval'  "," regression  "," c(model = 'SMOreg')  "," R2, MAE  "," c(attribute_selection = 'WrapperSubsetEval', search_method = 'BestFirst')   "," arousal, valence  ","FEATURESUBSETS = rbind(    lowlevel = c(R2_arousal = .74, MAE_arousal = .10,  R2_valence = .49, MAE_valence = 0.12),    rhythm = c(R2_arousal = .68, MAE_arousal = .11,  R2_valence = .15, MAE_valence = 0.15),    tonal = c(R2_arousal = .53, MAE_arousal = .14,  R2_valence = .48, MAE_valence = 0.12),      lowlevel_rhythm = c(R2_arousal = 0.79, MAE_arousal = 0.09,  R2_valence = 0.40, MAE_valence = 0.12),    lowlevel_tonal = c(R2_arousal = 0.74, MAE_arousal = 0.10,  R2_valence = 0.56, MAE_valence = 0.10),    rhythm_tonal = c(R2_arousal = 0.74, MAE_arousal = 0.11,  R2_valence = 0.52, MAE_valence = 0.11),    lowlevel_rhythm_tonal = c(R2_arousal = 0.79, MAE_arousal = 0.09,  R2_valence = 0.58, MAE_valence = 0.10) )   ","  10-fold cross validation} }"
"25","grekow2021mu"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," classical, jazz, blues, country, disco, hip-hop, metal, pop, reggae, rock "," 6  "," seconds  "," 324  "," 653  "," 5  "," music experts  "," not specified  "," convenience  "," rate  ","    "," essentia, marsyas  ","    "," classification, neural network  "," recurrent neural networks, long short-term memory units  "," R2, MAE  "," c(training_epochs = 100, layer_n = c(1,2), lstm_units = c(124, 248))  "," valence, arousal","CHROMAMARSYAS54 = rbind( linear.regression = c(R2_arousal = 0.4, MAE_arousal = 0.17, R2_valence = 0.02, MAE_valence = 0.18), SMOreg = c(0.43,0.16,0.04,0.17), RNN1.124LSTM = c(0.43,0.17,0.02,0.18), RNN2.124.124LSTM = c(0.48,0.15,0.03,0.17), RNN3.248LSTM = c(0.41,0.17,0.02,0.18), RNN4.248.248LSTM = c(0.46,0.16,0.02,0.18) )  ","  10-fold cross validation} }"
"25.1","grekow2021mu"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," classical, jazz, blues, country, disco, hip-hop, metal, pop, reggae, rock "," 6  "," seconds  "," 324  "," 653  "," 5  "," music experts  "," not specified  "," convenience  "," rate  ","    "," essentia, marsyas  ","    "," classification, neural network  "," recurrent neural networks, long short-term memory units  "," R2, MAE  "," c(training_epochs = 100, layer_n = c(1,2), lstm_units = c(124, 248))  "," valence, arousal","MFCC = rbind(     linear.regression = c(R2_arousal = 0.61, MAE_arousal = 0.13, R2_valence = 0.07, MAE_valence = 0.17),     SMOreg = c(0.6,0.13,0.10,0.17),     RNN1.124LSTM = c(0.58,0.14,0.14,0.17),     RNN2.124.124LSTM = c(0.66,0.12,0.11,0.16),     RNN3.248LSTM = c(0.61,0.13,0.13,0.16),     RNN4.248.248LSTM = c(0.64,0.12,0.14,0.15)   )  ","  10-fold cross validation} }"
